country,renewable,oil,gas,nuclear,hydroelec,coal,co2_emission,renewable_percent,oil_percent,gas_percent,nuclear_percent,hydroelec_percent,coal_percent,co2_percent,labels
Canada,0.09197463354355936,3.9332780831693768,3.2119461,0.7229368421052632,3.5676007777777787,1.2806480000000002,527.6085624997504,3.5624142008703066,2.728781601140396,4.4728998402827695,2.9529573543046235,15.259953231276354,1.3818958467207016,2.436681253239063,4
Mexico,0.06384645108338803,3.8174845255304484,1.292878933,0.08220999999999999,0.3307487999999908,0.27427300000000004,353.84599880701904,2.472937322516358,2.6484477617996776,1.8004405406805108,0.3358005982796981,1.4147354296868644,0.2959569839390894,1.6341848353287918,3
Argentina,0.007098083101045295,0.8711159929999999,1.1626821000000005,0.06177000000000001,0.34034010101010104,0.027045530291854497,124.77639554651437,0.2749270213307853,0.6043522079786755,1.6191307131180186,0.252309973917248,1.455760985503831,0.02918374602753657,0.5762611251690548,0
Brazil,0.32224275604658004,3.7216639660000004,0.3493621893426204,0.060460000000000014,3.0440300000000007,0.5442533615000161,301.7119497857655,12.481291047756615,2.581970545002696,0.4865156613031103,0.2469590581679912,13.020446604885116,0.5872819539956745,1.393411525465014,4
Chile,0.01375,0.5125284595999999,0.252505908,0.0,0.19080999999999998,0.13450932359999998,56.35388951256913,0.5325728777029396,0.3555757312461251,0.3516353015897919,0.0,0.8161652206706664,0.14514361138115295,0.2602620121853076,0
Colombia,0.004978350136986301,0.4758130337046301,0.2064890647828201,0.0,0.30815718,0.11317613475931015,54.920625636148564,0.19282430972128128,0.33010375175654155,0.2875530523028437,0.0,1.3181026823329505,0.122123823698466,0.25364269728626176,0
Ecuador,0.0,0.28201805700000004,0.011764908000000001,0.0,0.07611231425515001,0.0,20.265145769000004,0.0,0.19565504112815207,0.016383604667009038,0.0,0.32556062973538924,0.0,0.0935915455115507,0
Peru,0.001588,0.323158078,0.011971575000000002,0.0,0.16176100000000002,0.026366000000000004,26.04616258610001,0.06150732580307404,0.2241966621377884,0.01667140550877651,0.0,0.6919118613327797,0.028450492168525632,0.12029030725292028,0
Trinidad & Tobago,0.00020127,0.07430685977918207,0.3532694566764548,0.0,0.0,0.0,13.202538240082458,0.0077957049523833186,0.051551705095960194,0.4919568533061298,0.0,0.0,0.0,0.06097394870235071,0
Venezuela,0.0,1.0272092227124936,1.11584304,0.0,0.6288600000000001,0.005532102576000001,134.16941960999827,0.0,0.7126446613204984,1.553903459151024,0.0,2.689867725333868,0.005969469810133068,0.6196414022788022,0
