country,renewable_percent,oil_percent,gas_percent,nuclear_percent,hydroelec_percent,coal_percent,co2_percent,labels
Canada,1.82076166978433,2.499737094152659,3.5208093976388852,3.8876013031279597,9.97960479007175,0.36841962895930364,1.7491364092165729,2
Mexico,1.2011761561580259,1.8284690930192673,2.6532804147135325,0.4352873267164781,0.6215535820472737,0.33470830174259925,1.4308271789540699,5
Argentina,0.48352391755271307,0.6585978955708829,1.389758986101734,0.32660049749962256,0.9684141658510284,0.01507077562757321,0.5499649365090332,2
Brazil,7.041309929932055,2.6278388566787805,1.047924779835497,0.6253856781114577,10.432114938606425,0.4326844785425605,1.3878274671097066,0
Chile,0.6696019402101494,0.4219585863176052,0.18966921825022812,0.0,0.5448031252765491,0.18764748751053972,0.2904579582286799,0
Colombia,0.07417899885057795,0.38978112662409525,0.3934950884290097,0.0,1.3466077872309332,0.1699579800057449,0.3164775377001934,0
Ecuador,0.0253579570563075,0.27462772047860323,0.018496260916829675,0.0,0.6443833978759851,0.0,0.11196420387191762,0
Peru,0.18389260199218113,0.281355763349495,0.24288829862074557,0.0,0.8252235923376072,0.014359433482927082,0.1689034148660333,0
Trinidad & Tobago,0.00014481959878917986,0.04564792497191016,0.5133413034483588,0.0,0.0,0.0,0.06329461252435295,0
Venezuela,0.004952357644803715,0.3921087605300239,0.7741996884305712,0.0,1.6529317324251485,0.0020845978312385304,0.32198843461290333,0
Central America,0.5189763627631258,0.5288925693591278,0.01402558813420365,0.0,0.5914868653117606,0.06371507626872086,0.2473196694944713,0
Belarus,0.013311071304346164,0.1766079317756516,0.5637242343316594,0.0,0.008464887692156566,0.026041130451403296,0.18559927071896787,0
Austria,0.4953002796854818,0.30447441442501166,0.2604614218079446,0.0,1.064168128587287,0.08299278603244549,0.20343091243426023,0
Belgium,0.645450778035509,0.767222807458089,0.5087086254636598,1.6928711243301375,0.007743142127280276,0.08410004824004669,0.39147949732289106,0
Bulgaria,0.15828166621482642,0.11831501562800319,0.08284238099976633,0.641032983275892,0.08939723308398646,0.13754262727454336,0.12901971301801826,0
Croatia,0.07774095692296301,0.0786302600433307,0.086171549717114,0.0,0.15260822086713646,0.011914629774678413,0.0521985380926778,0
Cyprus,0.017564173137151667,0.06160135517425293,0.0,0.0,0.0,0.0004614245506476333,0.025773922519841806,0
Czech Republic,0.29518804994226955,0.23831666547699942,0.24362032223393987,1.1701662312756071,0.052437889157183504,0.39841645360518063,0.310643033076871,0
Denmark,0.76477201093505,0.18491200510535996,0.08543280892902608,0.0,0.0004424897149608928,0.025627092637002805,0.10520654769254977,0
Estonia,0.06262081008730691,0.035610271912829915,0.012591118963085464,0.0,0.00041749734944729236,0.09295464708045989,0.06372006479255722,0
Finland,0.6174653975256905,0.2150962907892906,0.0591390461576466,0.8869620321965924,0.3209942890498247,0.0965070040057996,0.1351553479556752,4
France,2.1360199561973605,1.7495087540878405,1.2710675822961068,15.453378023846694,1.5288683790452744,0.17786452192279706,0.9410780346131851,5
Germany,7.366041182668945,2.5984304202418502,2.5944431411489446,2.9043590701417594,0.5275485207482133,1.5194941484788957,2.150351415890116,0
Greece,0.38319785993252886,0.37537456544606695,0.1506254727143705,0.0,0.10464588333126806,0.09144569349232269,0.2254866353180085,0
Hungary,0.15772743201901088,0.20491202413464626,0.2871051683740286,0.6301895028548501,0.00574776324776063,0.05191661642928929,0.14901074175127682,0
Iceland,0.18936918075688963,0.02245359499284856,0.0,0.0,0.3516073192779618,0.0031656128093310323,0.01024022332682512,0
Ireland,0.3546074125704219,0.17882346008377253,0.15556340200191338,0.0,0.023163034372957757,0.026481366769287196,0.11858350184646577,0
Italy,2.2119131567883716,1.3825840160573561,2.0716079218735297,0.0,1.179334420401867,0.19649828008651452,1.023226942495383,0
Latvia,0.04039232308983925,0.04341538983553514,0.038390915919576434,0.0,0.055067805509443006,0.002015680214245465,0.02661899398340016,0
Lithuania,0.0792989309621344,0.07668259547833893,0.06312675029025723,0.0,0.009039664016932628,0.005627164929730424,0.03875009437059488,0
Luxembourg,0.03847625262582444,0.070557012633232,0.02327907135856174,0.0,0.002772813727486288,0.0015426085700047752,0.03429911779632113,0
Netherlands,0.7965049110793874,0.91872460905728,1.0781632769945453,0.15126049164514363,0.001938093514751724,0.17575746118473337,0.6038550547836313,0
North Macedonia,0.005598811344175464,0.025283130034780978,0.008274082079924179,0.0,0.03040237567988456,0.029152047413955155,0.025782086601464343,0
