country,renewable_percent,oil_percent,gas_percent,nuclear_percent,hydroelec_percent,coal_percent,co2_percent
Canada,2.2671215371914246,2.7939483716342304,3.5549432572529427,3.7517539650258747,11.91317286856308,0.6077469779696231,1.820784934249215
US,27.938701708897707,21.46106780038888,23.991318498705784,33.57811231270176,10.022519745876979,12.893273864563756,17.959573771850877
Brazil,7.939951438003094,2.968485746742168,1.001751401093326,0.6321423832008326,13.581266740639034,0.4232597169186524,1.4261537385962837
France,2.5404549673263577,2.1254158577203683,1.5680134015925062,17.85845135971254,1.4202002469546426,0.2676311259863312,1.124441006443936
Germany,10.054711788542269,2.908103642752051,2.947316133098865,4.358614848567279,0.5603395302415691,2.1456104555017057,2.5701845982345075
Spain,5.338860711615745,1.7447517276717228,1.2263759397270404,2.3305023087316057,0.9701155757668473,0.35044212652893414,1.0429412272220475
Iran,0.01991771011948512,2.2512358812586557,5.583762312208136,0.004485366631331303,0.33876045273522365,0.03910414674419329,1.7889562492297877
China,9.487142969785536,12.106835717565215,4.926591090107595,3.520115732268808,21.81602730271499,52.16090544047126,29.697894277407066
India,3.5612563752381288,4.325828517822488,2.1973775799830837,1.3008139600472908,4.175992987309098,8.346103201536069,5.839583746055283
Japan,2.701305152526208,5.426028303813908,4.083240947730781,6.577097467251648,2.6154298373993816,3.022750862173406,4.073187877288219
South Korea,0.44144674457229394,2.8614465445429316,1.765802854115998,6.245908751103324,0.1457794738952182,2.2928301477349327,2.0787792282474276
