country,renewable,oil,gas,nuclear,hydroelec,coal,co2_emission,renewable_percent,oil_percent,gas_percent,nuclear_percent,hydroelec_percent,coal_percent,co2_percent,labels
Canada,0.2508204087806148,4.542189959642719,3.511123200000001,0.8670446757381252,3.50522742738359,0.928738,541.0207535043036,2.2671215371914246,2.7939483716342304,3.5549432572529427,3.7517539650258747,11.91317286856308,0.6077469779696231,1.820784934249215,2
Mexico,0.08839878944734629,3.9732577922759424,2.5491056700000003,0.09412480724542678,0.33837647149389266,0.616777342,465.84690469770857,0.7990211019591402,2.4439922674844667,2.580919408806772,0.4072836483191593,1.1500359058214138,0.40360636226862334,1.5677901822549412,5
Argentina,0.052375777366768135,1.176311680191781,1.5782323928106885,0.0597073170731707,0.3698215243902437,0.05262712295184964,168.74697548044207,0.47341543486281273,0.7235615710939283,1.5979292903195572,0.2583571179646832,1.2569078160686074,0.03443810303144957,0.5679115794815192,0
Brazil,0.8784274829153165,4.825939624041118,0.9894032985857644,0.14609051999999992,3.996032728067216,0.6468109216846545,423.76161827508463,7.939951438003094,2.968485746742168,1.001751401093326,0.6321423832008326,13.581266740639034,0.4232597169186524,1.4261537385962837,4
Chile,0.04339995893451222,0.7583281694033801,0.21011455800000006,0.0,0.19134334016890234,0.24115130640000002,87.00508810414956,0.39228459156095824,0.46645555841869646,0.2127368618716604,0.0,0.6503162308021474,0.15780443752492807,0.29281234148035507,0
Colombia,0.014552893197917888,0.5523321742627322,0.3065389724590089,0.0,0.4517929362553472,0.16295913986074445,71.24679418871649,0.1315410406906098,0.33974527542743704,0.31036468706891257,0.0,1.5355030342276985,0.10663709763452836,0.23977839783800017,0
Ecuador,0.0027695787605644642,0.4581793135490006,0.020187228559318933,0.0,0.103863567241255,0.0,32.843575648336056,0.025033735043928022,0.2818308697744144,0.02043917229950087,0.0,0.3529998143984308,0.0,0.11053381471971391,0
Peru,0.015119237219190632,0.4286088052978129,0.2265438542261257,0.0,0.2011138353658535,0.034241999999999995,45.63263435597654,0.13666012463728372,0.2636417420384839,0.22937120151558876,0.0,0.683523091328064,0.022407258042242088,0.15357490929376022,0
Trinidad & Tobago,3.7354390243902414e-05,0.0894573847505612,0.7373275428436059,0.0,0.0,0.0,24.751132732445203,0.0003376397600271738,0.05502616946345131,0.746529650915911,0.0,0.0,0.0,0.08329900339854589,0
Venezuela,2.7801219512195103e-05,1.4963747833811585,1.199750110925706,0.0,0.7757725993902433,0.008588466576,172.03971243262765,0.0002512903308893551,0.9204357207709487,1.2147234159210956,0.0,2.6366086865093807,0.005620115260662444,0.5789931614654855,5
Central America,0.06384795278638282,0.7740111132088038,0.0,0.0,0.19514678340557465,0.029628536160376005,58.89711169413742,0.5771104096804149,0.47610230056222436,0.0,0.0,0.6632429460333088,0.019388302527873543,0.198216007332195,0
Belarus,0.0020705975609756093,0.35619243,0.6921426548672587,0.0,0.0003918292682926826,0.032467013510699305,57.002689638554145,0.01871576698309985,0.21909767504862768,0.7007808395836156,0.0,0.0013317052615948511,0.021245743519514037,0.1918404013770197,0
Austria,0.08349521184534603,0.5123353119943908,0.3255050412922452,0.0,0.3194255961991761,0.14515069113768606,64.85489186110031,0.7546985269149857,0.31514278869790774,0.3295674591377789,0.0,1.0856278016188692,0.09498361635803731,0.21826669170855414,0
Belgium,0.0911709161218196,1.3320754815398554,0.5948640000000002,0.449987926829268,0.00182853658536585,0.14777624609999998,122.98925095778236,0.8240778671485247,0.8193735082878193,0.6022881127562014,1.9471245668607073,0.006214624554109298,0.09670172533370044,0.4139156839511974,5
Bulgaria,0.010200208248324504,0.1653841645527344,0.11014020000000001,0.15219768292682914,0.027213475609756087,0.3389197434120001,50.74303215778606,0.09219788738898417,0.10172952284068408,0.11151478858460177,0.6585684410118501,0.09249010114457577,0.22178208475682393,0.17077376029029795,0
Croatia,0.0025355862799999983,0.15024443540000004,0.10761,0.0,0.046954207317073136,0.029421564696,18.20248663064711,0.02291871818861084,0.0924169176900636,0.10895301079523186,0.0,0.15958268051444968,0.019252864673494303,0.06125978201073091,0
Cyprus,0.0023266097560975607,0.11860702000000002,0.0,0.0,0.0,0.00028858032016977603,8.70295515753606,0.021029816163413154,0.07295641383070967,0.0,0.0,0.0,0.00018884100519703906,0.02928946723697562,0
Czech Republic,0.06138718911020416,0.3921490814046947,0.28508579999999994,0.263855963414634,0.01990959146341462,0.773959203864,113.15288177712331,0.5548679998409403,0.24121498597885319,0.2886437714428706,1.1417204725856172,0.06766648092308505,0.5064629284255855,0.38081175458092636,0
Denmark,0.13765484944908424,0.3467516188931261,0.1565051241332081,0.0,0.00015737957317073158,0.13557779455999994,46.29900336637202,1.2442379605474185,0.21329053376803017,0.158458363341646,0.0,0.0005348839982583024,0.08871931042298944,0.1558175490574287,0
Estonia,0.011131653626540805,0.05738938021981335,0.02123400000000001,0.0,0.00027987804878048763,0.17456318316,23.87115498912488,0.10061705825286166,0.03530080574324055,0.021499007817358556,0.0,0.0009512180439963225,0.11423054406113221,0.0803374715032643,0
Finland,0.11680889147514754,0.4256683140061175,0.13003199999999998,0.21865349807445425,0.11570460088691788,0.2308230000000001,57.712151597341844,1.0558150147597958,0.26183301520644203,0.13165484527205268,0.9461267121780677,0.39324378820202166,0.1510458069938803,0.1942280688326884,0
France,0.28106034146846826,3.4553403588327765,1.5486852627,4.1271563414634125,0.4178672560975607,0.408984669108,334.11190368195895,2.5404549673263577,2.1254158577203683,1.5680134015925062,17.85845135971254,1.4202002469546426,0.2676311259863312,1.124441006443936,3
Germany,1.1123915853658528,4.727774966000001,2.9109860000000003,1.0072925445731702,0.16486938548780486,3.2788480000000004,763.6943725895662,10.054711788542269,2.908103642752051,2.947316133098865,4.358614848567279,0.5603395302415691,2.1456104555017057,2.5701845982345075,2
Greece,0.042877512590920035,0.7505011305196228,0.16556357275126524,0.0,0.0374196951219512,0.33065818218000004,95.48217905788412,0.3875622909980054,0.46164106524727666,0.1676298645968382,0.0,0.12717785248230834,0.2163758896059213,0.3213416712608575,0
Hungary,0.0299553586639032,0.30087487228649396,0.3928870000000001,0.14632981573170725,0.002071097560975608,0.11357092746,49.30197152409794,0.27076121560996935,0.1850712689164214,0.39779036848161203,0.6331778300876755,0.007039013525572785,0.07431847081633602,0.16592392509605877,0
Iceland,0.04386646382548778,0.030041744456609874,0.0,0.0,0.11667965488243895,0.0039,2.5111351754208653,0.39650124717792956,0.01847899003594271,0.0,0.0,0.39655769209141817,0.0025520795036722194,0.008451130692592188,0
Ireland,0.046478174348857634,0.2999824074107418,0.17312418000000004,0.0,0.006592872621951214,0.08160073200000001,38.60844396132784,0.4201080390065015,0.1845223044722869,0.175284830893557,0.0,0.0224071141952543,0.0533978347748333,0.12993526152972548,0
Italy,0.4030748948849694,2.9711271199750287,2.6717785571346258,0.0,0.4274950609756094,0.641771921412,386.43669930791685,3.6433230443148465,1.8275712492274296,2.7051232968865153,0.0,1.4529221476681158,0.4199622991456164,1.3005381320094815,5
Latvia,0.0028790372737465823,0.06853707454993152,0.05464955752212389,0.0,0.0269335975609756,0.004647348,8.299961009812412,0.02602311128276984,0.04215786867936656,0.055331603295814595,0.0,0.09153888310057945,0.003041128609546688,0.027933205637003588,0
Lithuania,0.0077930404878048766,0.1086524204,0.11383071840000004,0.0,0.004477115853658535,0.0100357596,12.382668099561124,0.07043992159968401,0.0668332358945587,0.1152513659572921,0.0,0.015216317977127842,0.0065671939433183885,0.04167340231488904,0
Luxembourg,0.003623699794031002,0.12560237597035492,0.043218992699999986,0.0,0.0005877439024390245,0.0024450912000000004,11.728162397839014,0.03275398476265763,0.07725933017635547,0.04375838098877563,0.0,0.001997557892392279,0.0016000172143921317,0.039470688068981005,0
Netherlands,0.1283537008832903,1.9672450491980893,1.4734000000000005,0.03863040091463412,0.0005317682926829265,0.3117,219.4369597918499,1.160166515418037,1.2100729275190507,1.4917885522320853,0.16715604611565793,0.0018073142835930128,0.20397004648580278,0.738506809246224,0
North Macedonia,2.300121591041727e-05,0.04092753059306717,0.004617077436000002,0.0,0.013368841463414624,0.061907657652000014,9.345372622828354,0.00020790394300691898,0.025174950513189173,0.004674700192611557,0.0,0.04543651523489099,0.04051109338821177,0.03145149897924496,0
Norway,0.02010541730320517,0.4337016630296571,0.14471091490941002,0.0,1.122227012195121,0.0354,36.308113354343035,0.18172932898050692,0.2667744118944954,0.14651695822240338,0.0,3.8140989910120533,0.023165029341024768,0.12219358565895508,5
Poland,0.12955167317073166,1.1583740871967214,0.5922910000000001,0.0,0.021755853658536568,2.301184,324.0116249927896,1.1709947761126933,0.7125279707414837,0.5996830008077194,0.0,0.07394134928664745,1.5058473129688343,1.0904488995795703,0
Portugal,0.1301979863650731,0.5088011213008495,0.18913254072838206,0.0,0.10762243902439016,0.092982840876,51.4228205704252,1.17683668734227,0.31296887117772526,0.19149298161610484,0.0,0.3657750451847191,0.060846051895603874,0.17306156254592933,0
Romania,0.022699419512195115,0.3805428679999999,0.4649463,0.1095927804878048,0.13740146341463408,0.34367414788799994,85.06664683017918,0.20517605847159512,0.2340758831824045,0.47074899398850584,0.47421449002417587,0.466984645065928,0.22489326891461026,0.28628859050645816,0
Slovakia,0.018806636585365844,0.158061225,0.1941444,0.14377335365853647,0.033939878048780465,0.15285039649200002,33.69835360531283,0.16998987862310824,0.09722510642025162,0.1965673906610335,0.6221158663990205,0.1153510414686207,0.10002214461933474,0.11341053768479559,0
Slovenia,0.004468483600432697,0.11141107475871467,0.030890121609600005,0.05798140243902435,0.03323085365853657,0.06093757609200001,15.212386342213776,0.04038983692905381,0.06853011293446981,0.03127564123405607,0.25088898252351655,0.1129412890904967,0.0398762920379127,0.05119671230072515,0
