country,renewable,oil,gas,nuclear,hydroelec,coal,co2_emission,renewable_percent,oil_percent,gas_percent,nuclear_percent,hydroelec_percent,coal_percent,co2_percent,energy_sum,renewable_per_total,oil_per_total,gas_per_total,nuclear_per_total,hydroelec_per_total,coal_per_total,CO2_per_energyunit,labels
Canada,0.09197463354355936,3.9332780831693768,3.2119461,0.7229368421052632,3.5676007777777787,1.2806480000000002,527.6085624997504,3.5624142008703066,2.728781601140396,4.4728998402827695,2.9529573543046235,15.259953231276354,1.3818958467207016,2.436681253239063,12.80838443659598,0.7180814567118271,30.708619831329052,25.07690267964523,5.644246904704826,27.85363599475097,9.998513132858086,41.19243649435388,4
Mexico,0.06384645108338803,3.8174845255304484,1.292878933,0.08220999999999999,0.3307487999999908,0.27427300000000004,353.84599880701904,2.472937322516358,2.6484477617996776,1.8004405406805108,0.3358005982796981,1.4147354296868644,0.2959569839390894,1.6341848353287918,5.8614417096138265,1.0892618957323807,65.12876378637498,22.057353754443113,1.4025559593156185,5.642789204190205,4.679275399943713,60.36842407332099,4
US,0.868178370321137,38.35369121218306,22.622063729880843,7.935715157894736,2.7276135050505053,22.6315300075073,5740.774377327296,33.626782039372806,26.608555180337692,31.50308943361493,32.4147658167902,11.667015765703239,24.42077551544941,26.51290805068236,95.13879198283757,0.912538778585449,40.31340992757383,23.77795981891563,8.34119815114563,2.8669835386837255,23.78790978509574,60.34104761770461,6
Argentina,0.007098083101045295,0.8711159929999999,1.1626821000000005,0.06177000000000001,0.34034010101010104,0.027045530291854497,124.77639554651437,0.2749270213307853,0.6043522079786755,1.6191307131180186,0.252309973917248,1.455760985503831,0.02918374602753657,0.5762611251690548,2.4700518074030016,0.28736575806918724,35.26711425198349,47.07116249607889,2.5007572640731226,13.778662455178731,1.094937774616558,50.515699781092266,1
Brazil,0.32224275604658004,3.7216639660000004,0.3493621893426204,0.060460000000000014,3.0440300000000007,0.5442533615000161,301.7119497857655,12.481291047756615,2.581970545002696,0.4865156613031103,0.2469590581679912,13.020446604885116,0.5872819539956745,1.393411525465014,8.042012272889218,4.006991597524748,46.27777028575629,4.3442135809761275,0.7518018867469201,37.85159605217048,6.767626596825431,37.5169720646759,0
Chile,0.01375,0.5125284595999999,0.252505908,0.0,0.19080999999999998,0.13450932359999998,56.35388951256913,0.5325728777029396,0.3555757312461251,0.3516353015897919,0.0,0.8161652206706664,0.14514361138115295,0.2602620121853076,1.1041036911999997,1.2453540468699777,46.42031936719243,22.869763955372967,0.0,17.28189132241894,12.182671308145702,51.04039589915751,4
Colombia,0.004978350136986301,0.4758130337046301,0.2064890647828201,0.0,0.30815718,0.11317613475931015,54.920625636148564,0.19282430972128128,0.33010375175654155,0.2875530523028437,0.0,1.3181026823329505,0.122123823698466,0.25364269728626176,1.1086137633837465,0.4490608272615362,42.91963977177573,18.62587959873126,0.0,27.796622248260093,10.208797553971397,49.53990961515584,4
Ecuador,0.0,0.28201805700000004,0.011764908000000001,0.0,0.07611231425515001,0.0,20.265145769000004,0.0,0.19565504112815207,0.016383604667009038,0.0,0.32556062973538924,0.0,0.0935915455115507,0.3698952792551501,0.0,76.24267537771597,3.1806050684644407,0.0,20.57671955381958,0.0,54.78617031773825,0
Peru,0.001588,0.323158078,0.011971575000000002,0.0,0.16176100000000002,0.026366000000000004,26.04616258610001,0.06150732580307404,0.2241966621377884,0.01667140550877651,0.0,0.6919118613327797,0.028450492168525632,0.12029030725292028,0.524844653,0.30256571938439847,61.57213875626546,2.2809749383118896,0.0,30.820738874899046,5.023581711139201,49.626422670443034,0
Trinidad & Tobago,0.00020127,0.07430685977918207,0.3532694566764548,0.0,0.0,0.0,13.202538240082458,0.0077957049523833186,0.051551705095960194,0.4919568533061298,0.0,0.0,0.0,0.06097394870235071,0.4277775864556369,0.04705015091314816,17.370442522445746,82.58250732664109,0.0,0.0,0.0,30.863090208798585,3
Venezuela,0.0,1.0272092227124936,1.11584304,0.0,0.6288600000000001,0.005532102576000001,134.16941960999827,0.0,0.7126446613204984,1.553903459151024,0.0,2.689867725333868,0.005969469810133068,0.6196414022788022,2.7774443652884933,0.0,36.98397114808805,40.17517160543006,0.0,22.64167764651806,0.19917959996384593,48.30678925086663,1
Central America,0.029806109434951687,0.5739476132542384,0.0,0.0,0.15365460537999998,0.010880826848,42.734341372803826,1.154467307265524,0.3981863610834774,0.0,0.0,0.6572378015147625,0.011741063453921995,0.19736216561625428,0.76828915491719,3.8795431699363685,74.7046355634294,0.0,0.0,19.999580157624592,1.4162411090096396,55.62273149281919,0
Belarus,0.0,0.33053690500000005,0.5469703362831857,0.0,0.00027,0.04165821194582989,50.99923027404727,0.0,0.2293158545594373,0.7617013030824129,0.0,0.001154890255128557,0.04495170419174748,0.2355323191678715,0.9194354532290155,0.0,35.94998472586297,59.489802613359174,0.0,0.029365846079980086,4.530846814697882,55.467983200930846,3
Austria,0.01669540049722341,0.5117847910931473,0.2815385548605256,0.0,0.4183565055045,0.15292441892754002,63.65883566747957,0.6466558172515898,0.35505979799758863,0.3920656567272679,0.0,1.7894661162103092,0.16501460149716718,0.29399881370205605,1.3812996708829364,1.2086733131957959,37.05096018491128,20.382148841066776,0.0,30.287164640898208,11.07105301992794,46.08618753002989,4
