country,renewable,oil,gas,nuclear,hydroelec,coal,co2_emission,energy_sum,renewable_per_total,oil_per_total,gas_per_total,nuclear_per_total,hydroelec_per_total,coal_per_total,CO2_per_energyunit,labels
Canada,0.523399026366713,4.4999206616032215,4.331248843855506,0.8957691247000441,3.405087403904004,0.5586325067273039,556.1885521674379,14.21405756715679,3.682263307952871,31.658241429954558,30.47158647973506,6.301994490087203,23.95577327456341,3.9301410177069243,39.12947091565011,1
Mexico,0.3452919956857894,3.2915324855669885,3.264027225205428,0.10029756583632043,0.2120769627256321,0.5075162204388439,454.9729185619787,7.7207424554590025,4.472264133634562,42.63233108157479,42.27607958736632,1.2990663322204767,2.746846743679187,6.573412121524676,58.92864853175967,6
US,5.82855474958802,36.98803904027455,30.479221867664023,7.595138119028009,2.4172070954195792,11.340643168005636,4964.693087543445,94.64880403997982,6.158085998768699,39.0792460775846,32.20243739666224,8.02454737391062,2.5538696658000526,11.981813487273783,52.453838565634165,6
Argentina,0.13899454929874802,1.1855799895518242,1.709661422122891,0.07525428122900449,0.3304274014119382,0.022851728044289303,174.87727095957013,3.4627693716586956,4.013970737882796,34.23791371309032,49.37266212747945,2.173239772909192,9.542287283592922,0.6599263650453029,50.50214212672282,6
Brazil,2.0241060776006146,4.7305240195833465,1.2891419212167077,0.14409944276721656,3.559485963699384,0.6560769184665968,441.2999155026889,12.403434343333867,16.3189163708393,38.13882420497296,10.39342721969216,1.1617705127343358,28.69758379147952,5.28947790028171,35.578848832288315,4
Chile,0.1924848316917652,0.7595919448301468,0.2333283314945118,0.0,0.18588935118275107,0.28452877667023696,92.35951547373976,1.6558232358694118,11.624721016232055,45.873975456765045,14.091379226961969,0.0,11.226400690357954,17.183523609682975,55.77860817084451,0
Colombia,0.02132361221106378,0.7016674470693884,0.4840719716221838,0.0,0.4594688177292166,0.25770628095227244,100.63319393472868,1.924238129584125,1.1081586984076828,36.46468886992879,25.15655230918866,0.0,23.87796035558858,13.392639766886289,52.29768207351653,1
Ecuador,0.0072894384005197,0.4943731708912227,0.022753832901432472,0.0,0.21986660168900374,0.0,35.602259559615185,0.7442830438821786,0.9793906310827676,66.42273728453807,3.057147826819826,0.0,29.540724257559337,0.0,47.83430155000426,4
Peru,0.052862057915657804,0.5064847082195676,0.2987976751290856,0.0,0.2815701141260321,0.021773124153050008,53.70772986913654,1.1614876795433933,4.551237076956259,43.60655021486565,25.72542786218358,0.0,24.24219551228676,1.8745893337077417,46.24046454823374,1
Trinidad & Tobago,4.1630070680284636e-05,0.08217345784919079,0.6315050535127061,0.0,0.0,0.0,20.126354190801152,0.7137201414325772,0.005832828340352686,11.513400432311247,88.4807667393484,0.0,0.0,0.0,28.199224068979735,2
Venezuela,0.0014236125532107904,0.7058575548733002,0.9524092692086519,0.0,0.5639879674587425,0.003160863375473724,102.38554312766384,2.226839267469379,0.06392973996855236,31.697732529903227,42.76955607536898,0.0,25.32683771557831,0.14194393918092646,45.97796734742182,6
Central America,0.14918576521315552,0.9520899642585408,0.01725407584727589,0.0,0.20181805963412905,0.0966107937105832,78.64244788104884,1.4169586586636842,10.528589828714603,67.19250123757632,1.2176837864520331,0.0,14.243045017591488,6.818180129665577,55.50087675473576,4
Belarus,0.003826421588399276,0.31792210591236403,0.6934854070316129,0.0,0.002888258910282671,0.0394860122496,59.01666051920464,1.0576082056922589,0.36179953670978626,30.060480261144313,65.57110688997454,0.0,0.2730934664403589,3.7335198457309984,55.80200702071445,2
Austria,0.1423798009638729,0.5481019230404632,0.3204158773352401,0.0,0.3630990972602048,0.12584147113048932,64.68674716089718,1.4998381697302705,9.49301090193473,36.544070827256874,21.363363314914395,0.0,24.20921834023628,8.390336615657711,43.129151175376734,1
Belgium,0.1855423004546436,1.3811219473478935,0.6258060000000001,0.3900661531446333,0.002641995978685541,0.12752040627404812,124.48223801869057,2.712698803199904,6.8397678443245375,50.91320664567404,23.06949814191676,14.379265131997352,0.09739363528192065,4.700868600805399,45.88870606344173,1
