country,1965.0_renewable_per,1966.0_renewable_per,1967.0_renewable_per,1968.0_renewable_per,1969.0_renewable_per,1970.0_renewable_per,1971.0_renewable_per,1972.0_renewable_per,1973.0_renewable_per,1974.0_renewable_per,1975.0_renewable_per,1976.0_renewable_per,1977.0_renewable_per,1978.0_renewable_per,1979.0_renewable_per,1980.0_renewable_per,1981.0_renewable_per,1982.0_renewable_per,1983.0_renewable_per,1984.0_renewable_per,1985.0_renewable_per,1986.0_renewable_per,1987.0_renewable_per,1988.0_renewable_per,1989.0_renewable_per,1990.0_renewable_per,1991.0_renewable_per,1992.0_renewable_per,1993.0_renewable_per,1994.0_renewable_per,1995.0_renewable_per,1996.0_renewable_per,1997.0_renewable_per,1998.0_renewable_per,1999.0_renewable_per,2000.0_renewable_per,2001.0_renewable_per,2002.0_renewable_per,2003.0_renewable_per,2004.0_renewable_per,2005.0_renewable_per,2006.0_renewable_per,2007.0_renewable_per,2008.0_renewable_per,2009.0_renewable_per,2010.0_renewable_per,2011.0_renewable_per,2012.0_renewable_per,2013.0_renewable_per,2014.0_renewable_per,2015.0_renewable_per,2016.0_renewable_per,2017.0_renewable_per,2018.0_renewable_per,2019.0_renewable_per
Trinidad & Tobago,0.0,0.0,0.0,0.0,0.0,0.0,0.215352341688756,0.15623139800171384,0.1305077094166645,0.11680295219555117,0.1333652698699582,0.0979804435985168,0.11400445269669256,0.14276936571922813,0.16159070964415648,0.15065292077741757,0.10425673900196758,0.08409558231002517,0.07661424270072406,0.06315184668192865,0.0799087581117613,0.11754807642858384,0.14846507656482882,0.1176603008623572,0.1151674096500155,0.12374578754369953,0.1000950427981629,0.11348056368055484,0.10048038948132551,0.10836141965995334,0.10304454858865048,0.04685013562545995,0.04961906425300816,0.048883710470854456,0.04398249249822333,0.047050150913148174,0.06379040126200283,0.05314263012467102,0.023574901243572536,0.03972821156163708,0.035594777085347466,0.03569259474481029,0.02623688424266397,0.027973786678183128,0.02731229670112291,0.004463974263360098,0.004517825784066944,0.004561408286303681,0.004451335091689062,0.004985153719116039,0.005861756096164721,0.006567740100010098,0.006153094354523019,0.005856643661015679,0.005832828340352686
Venezuela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006936863478163409,0.0007987676940048223,0.0013359298040151542,0.0013948220735363636,0.001810413097332475,0.0027766896713465688,0.0030391947905978357,0.0031546951787228337,0.003243444124179002,0.06392973996855236
Central America,0.0,0.0,0.0,0.0,0.0,0.0,0.4546064609993257,0.5494841008440844,0.4346393831947606,0.5633023825297236,1.1128210976546649,2.2917489927528374,2.190363780777586,2.25189319244988,1.8789471923309358,2.0526471908174364,3.295136695547561,3.5736879282275162,3.05327706920107,3.64002324622364,2.6918721377009716,2.387167225663509,2.3709972052959256,2.3194273709314714,2.891896327753192,2.910209988859565,3.006154224072619,3.741878621285514,3.2942180645522208,3.052550828433511,2.925111445912722,2.8992143720804386,3.004795744144381,2.35854383414125,3.4167191443870695,3.8795431699363676,4.041468195969244,4.383931814636517,4.395973659018608,4.4733905576051995,4.643867309391134,4.769488864994907,4.947105615359064,4.914554897565579,5.560531606991835,6.082366547106556,6.008459132692861,6.826159407141017,7.347926480192964,8.161431760057816,8.65613858453852,9.28360064370776,8.936661023021042,10.057690763323734,10.528589828714598
Other Caribbean,4.333534946311872,4.267556337123223,4.178256029869738,4.164086800349521,4.133847097216202,3.674642869138693,4.532136835863018,4.273088913004976,4.130451791050455,4.259242740242511,4.2363901826363435,4.337006950779536,4.5329831119738095,4.449846800850846,4.420113577053821,4.239508861545011,3.8418898138852686,4.688747472898766,5.144810171071352,4.759407021723209,5.202396280974777,5.459955644739387,5.327112132283737,5.50019853779599,5.309079986689116,5.657926405012981,5.647938514959578,5.0420090371917885,3.94088652711247,3.8120639857577854,3.8548634749672392,3.770292898750301,3.65614726600242,3.4485564974572043,3.5665288416738687,3.2388072937777355,3.0354710545631174,2.8288559912776408,2.6813926873836302,2.6658284438498634,2.385674406728532,1.7585514972287115,1.2745598982400466,1.3330860788370487,1.4184645538726428,1.5082261109406139,1.6407949716012897,1.930088966540583,2.2302636564248948,2.2798955102508365,2.3763981330513677,2.4052030004406997,2.6732687105628394,2.684828526253503,3.126399730752475
Other South America,0.0,0.0,0.0,0.0,0.0,0.0,0.3197683674779336,0.30381734507713265,0.3035023912228018,0.3542163337384287,0.3067639481182929,0.34599705605350484,0.33430177874355316,0.22368687297276557,0.3027333415928898,0.30447135753336046,0.4109238547775434,0.5099649686047856,0.4644964080805702,0.5400439253597767,0.4716780545289203,0.341639871651089,0.40142488053348896,0.38235070622151396,0.30783142996804475,0.3171865036068458,0.31991076449355965,0.3366538511978955,0.32622587026963484,0.23712416466291916,0.18283679281172982,0.1555306518127421,0.14055324088766188,0.145525207625874,0.1612262307110125,0.2055448129283404,0.2193191751073897,0.21336459308219954,0.20153647264154348,0.19346109470864528,0.26232635408389604,0.25246947962257904,0.3364744156512192,1.10922371234938,1.2726790192262227,1.4811978843096019,1.6083457311080642,1.788784948297173,2.0126933294706477,3.1137061277025255,4.666556471823668,5.1605403803593335,5.822580984223652,6.647681367472042,7.110540727694338
Total S. & Cent. America,0.7145726023830125,0.6886660703936298,0.6742986829536517,0.6475191436002127,0.6309553790594653,0.7585565865005284,0.9941907756664323,0.9832626851825803,0.8965479543169149,0.8489735434382802,0.8650845930322757,0.8825353806049501,1.0214650849130609,1.1918065939502849,1.321344507746347,1.3920861623020755,1.3521955516458237,1.6535184986324423,2.015688520259521,2.2007687517699015,2.4268387209086146,2.7453456015547086,2.719326066134337,2.744782588365534,2.8690047158486944,2.7723317042321485,2.7786740633555866,2.6893201551380965,2.570581989858154,2.565504526702095,2.5370763576592115,2.571644875578727,2.4470559751619865,2.2945667971696606,2.415703439546915,2.155997287214001,2.1600052401978207,2.365623018311452,2.357928736588465,2.4124850091155334,2.4831432614036992,2.319467914744136,2.848445799733299,3.436445965011699,3.8503204087405583,4.3114149247461535,4.0879200399961215,4.251737794518803,4.803857528100792,5.475133291722931,6.497205948477623,6.901046492112475,7.528997316636202,8.543844646679899,9.531493520335143
Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1523265183178941,0.7687572564334285,0.9021323232314347,0.946218521970683,0.9854243457243922,1.0080256372015424,1.1134074204544295,1.125160871165019,1.0009258464277808,1.470277217221936,1.2623123552517137,1.3474420154749982,1.4436844072190438,1.2461401682311024,1.2086733131957956,1.336283102402541,1.2498348199066616,1.4714931029968918,2.0383761859519534,2.6658478476527208,4.065663062081022,5.012973551302365,5.245812548795394,5.6886194875257035,5.653367221216991,6.024568712404673,6.200344435820275,6.643705020549222,7.626877295268432,8.763891208168225,8.581272962948125,9.208010774055573,9.136504470255504,9.493010901934731
Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05650615469675118,0.054477507907125036,0.04454777116085804,0.02884364441980614,0.1248049478051837,0.12586235766302276,0.1481872815693729,0.14744497952302915,0.15043234054739127,0.02486599451862313,0.012284629661435186,0.012826761573498359,0.02715135503108696,0.059105904628982485,0.07136901827376682,0.08889058142217629,0.09290960898688273,0.1279722855805856,0.13140866564129572,0.1185727264351436,0.1104487292223169,0.10504458456107449,0.13528744902038348,0.12416946088420901,0.10813188016631758,0.1385879970225884,0.19223396302137968,0.21567390549710802,0.23452169831951813,0.28710783488892117,0.333884406928738,0.41285873487076075,0.6394231417326212,0.9043706551368328,1.0669279210320848,1.3490038947677463,2.0397385676661792,2.600955243841204,3.482859300272781,4.306165183733761,4.595804454054242,5.284985211804276,5.7462440766385114,5.514127435082506,6.02932834732134,6.580389014983933,6.839767844324535
Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012414103685695797,0.005706594969492952,0.022145406184190978,0.053388099899114604,0.16727274370183257,0.3527961086778861,0.995913220782011,1.2685950868626945,3.0097508376234168,4.362611224234346,4.000178105453007,4.293426368725331,4.675359368257763,4.727606177223187,5.689501878001291,6.089714884199535
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.020900921465760655,0.06344754915547988,0.019867976451428983,0.015997902019873514,0.029922687770860414,0.006018306653450319,0.014224726139470527,0.0055126881487877,0.0029119228251358615,0.0,0.0,0.0,0.014872584139877847,0.059743685932403416,0.07508322818533196,0.1322395773374509,0.18910046755511514,0.2851285190186941,0.4204045068153784,0.7529227515045428,1.6436249334883322,2.158385014348815,2.8733132241212433,3.470676065454343,4.0918629932725485,4.849373774304612,5.611658212796437,6.5720687980787575
