country,1965.0_all_energy,1966.0_all_energy,1967.0_all_energy,1968.0_all_energy,1969.0_all_energy,1970.0_all_energy,1971.0_all_energy,1972.0_all_energy,1973.0_all_energy,1974.0_all_energy,1975.0_all_energy,1976.0_all_energy,1977.0_all_energy,1978.0_all_energy,1979.0_all_energy,1980.0_all_energy,1981.0_all_energy,1982.0_all_energy,1983.0_all_energy,1984.0_all_energy,1985.0_all_energy,1986.0_all_energy,1987.0_all_energy,1988.0_all_energy,1989.0_all_energy,1990.0_all_energy,1991.0_all_energy,1992.0_all_energy,1993.0_all_energy,1994.0_all_energy,1995.0_all_energy,1996.0_all_energy,1997.0_all_energy,1998.0_all_energy,1999.0_all_energy,2000.0_all_energy,2001.0_all_energy,2002.0_all_energy,2003.0_all_energy,2004.0_all_energy,2005.0_all_energy,2006.0_all_energy,2007.0_all_energy,2008.0_all_energy,2009.0_all_energy,2010.0_all_energy,2011.0_all_energy,2012.0_all_energy,2013.0_all_energy,2014.0_all_energy,2015.0_all_energy,2016.0_all_energy,2017.0_all_energy,2018.0_all_energy,2019.0_all_energy
Canada,4.924317048,5.239094893,5.480213969999999,5.836056241000001,6.18595265,6.624581111,6.831992434000001,7.348641542,7.857611557,8.099353899,7.956117337,8.439991487,8.936246164,9.054126246,9.326797594,9.518029260999997,9.408892300000002,9.090671024999999,9.028668048,9.615311746000003,9.921055951,9.946250274999999,10.288276055,10.70825968,10.815393108497078,10.619272631242426,10.64074439979532,10.905954605406125,11.149002954381137,11.562377745663968,11.808980574233665,12.136335644040983,12.229873954642908,12.061168021166512,12.445444827408364,12.808384436595976,12.497244855245638,12.881713505922974,12.938692452956133,13.092089022608736,13.22634436447932,13.055694201027622,13.515239699793195,13.462205542073228,12.735857357208108,13.006500948350293,13.605143671545045,13.468474248037818,13.881790511401228,14.031963677255106,13.993650261824335,13.936678180345654,14.109482022622178,14.349534169353072,14.214057567156791
Mexico,1.0502527126139396,1.11157158395628,1.1324702682883334,1.2329965534507905,1.3536893345652083,1.4448340709047367,1.5199836106514335,1.6804659571661091,1.8126945313902838,1.9967721993175414,2.1341911591414457,2.2707185356239705,2.394828260725485,2.698444110419691,2.983510074489897,3.251658510093614,3.5914036342253572,3.7444631754178794,3.7038598446256614,3.8754403908583,4.065132934332888,3.9479575542806633,4.079445317576233,4.108589081440383,4.337943074399802,4.564141535239785,4.741419433168911,4.823497015466333,4.8480544391913885,5.127171824194082,5.046188050167673,5.205132772689016,5.294514661657881,5.530348362062191,5.599980234015291,5.861441709613828,5.789725901955852,5.978006643851155,6.027918283698738,6.352661471663509,6.7605281510291135,6.9744744148025966,7.0107729602959665,7.157985196214092,7.101147062137546,7.308951170288454,7.660040872462608,7.705558421346875,7.738308623733479,7.697182234819048,7.688300012316861,7.785419360570296,7.895340852275446,7.833321660614037,7.7207424554590025
US,52.43379506763246,55.38303799976934,57.311775723878114,60.799094256268894,64.04961230554675,66.21550766100877,67.5919436274928,71.06433022273536,73.98487539567992,72.12094638884265,70.36160600106365,74.19373885955814,76.14413312342997,76.48907002313157,77.39115847550256,74.5829180097075,72.39532948499286,69.37762594315399,69.07058060287035,72.74461609335435,72.56411356936276,73.00463311108864,75.47505985819664,78.93009067178606,80.810177946229,80.99330473051,80.87997295559741,82.09209478892348,83.80575878547934,85.3658512615778,87.20019381394034,90.12748936623441,90.81223120328211,91.40875641941683,93.02682379101122,95.13879198283757,92.89452493399065,94.23901794498337,94.53503321710186,96.3967141890565,96.43731384170239,95.65836226769999,96.99645750797995,94.60071170836389,89.92401795024627,92.97258881318764,92.08836192294224,89.68776503034209,92.09548017718623,93.05416795604009,92.14900448893191,92.01779900020365,92.33052485487691,95.6029190067394,94.64880403997982
Total North America,58.4083648282464,61.73370447672562,63.92445996216645,67.86814705071968,71.58925429011195,74.2849228429135,75.94391967214423,80.09343772190147,83.6551814840702,82.21707248716021,80.4519144972051,84.90444888218211,87.47520754815545,88.24164037955126,89.70146614399246,87.35260578080111,85.39562541921822,82.21276014357187,81.80310849549602,86.23536823021266,86.55030245469565,86.8988409403693,89.84278123077287,93.74693943322644,95.96351412912588,96.17671889699221,96.26213678856165,97.82154640979593,99.80281617905186,102.05540083143585,104.05536243834169,107.46895778296441,108.3366198195829,109.00027280264553,111.07224885243488,113.80861812904737,111.18149569119214,113.09873809475751,113.50164395375673,115.84146468332874,116.42418635721083,115.6885308835302,117.52247016806912,115.22090244665122,109.76102236959191,113.28804093182639,113.3535464669499,110.8617976997268,113.71557931232093,114.78331386811425,113.8309547630731,113.7398965411196,114.33534772977453,117.78577483670651,116.58360406259561
Argentina,1.1276320347962718,1.1651077531389147,1.199725304007338,1.2412339151821727,1.2839123961458132,1.2127622515030838,1.2883781834401833,1.3114422291550625,1.3679103524680438,1.4275361264187731,1.3916435714635444,1.4674587656693503,1.5330676861702373,1.5640078859152917,1.6587508574173868,1.6572183103338882,1.5976867729448028,1.6360296077937977,1.7091846844515752,1.7062133702149815,1.6648351628850815,1.837627038797112,1.9205662602433637,1.9463091711716556,1.8669389175184583,1.847543730710813,1.8687394569613918,2.0101060360916283,2.0749258754945252,2.113357748328212,2.1988522553862557,2.3549992682216017,2.341980693919038,2.4277725285197613,2.374160471847848,2.4700518074030016,2.442824837605153,2.3257044846839316,2.495103102176584,2.628104440240487,2.802797999811933,2.9448284356675707,3.0747909461211322,3.127156373263334,3.066804065914671,3.2271374928514254,3.2890758147845025,3.382871529572315,3.5245765435145557,3.5068614767359194,3.585803291902729,3.5761952977109024,3.5669198736178407,3.540866279385322,3.4627693716586956
Brazil,0.969469371510708,1.057604646394248,1.0956531425761062,1.2528400211724782,1.3678315487244248,1.585816640227802,1.7342590984950121,1.9978797479863437,2.382002141859865,2.602140444063089,2.74924606698952,3.019283713942201,3.2265889758800164,3.556023676501739,3.849862496510347,3.927910430280431,3.8293116939683793,4.019244408463384,4.098749689614086,4.400627743160595,4.685955693639595,4.99639497192059,5.145734871744383,5.342259319220719,5.449779581633223,5.359907432130135,5.565708435462714,5.825753708111737,6.086154841132522,6.395972192804413,6.715675504651574,7.090972202138197,7.4960640013217255,7.769721293158216,7.9087579095879565,8.042012272889217,7.884190467100722,8.070208849160705,8.212964288770387,8.614360295011295,8.85800624641813,9.079154731311325,9.634607628132922,10.059616182907211,9.9785178853462,10.981271002179064,11.482704575294068,11.688261344083728,12.130482778152995,12.401465830880905,12.23342183670372,11.91851961273313,12.06370119525509,12.134311698170624,12.403434343333865
Chile,0.2603391874669595,0.2791208379011797,0.2845595081283108,0.2838664772295479,0.3057122533917099,0.32266634811407724,0.34880410200000006,0.36013750800000005,0.346330769,0.34257042400000004,0.308504314,0.324363283,0.3363913760000001,0.3561547720000001,0.3680505400000001,0.38004133399999995,0.389954395,0.35683937300000007,0.36658137700000004,0.38355117800000005,0.38893017200000013,0.40636104800000006,0.426337909,0.47600602200000003,0.525161096,0.5532447838000001,0.6198553452000001,0.6856977721999999,0.7251022820817953,0.7621095500000001,0.8213648203999999,0.8715628719280001,0.99698950488,1.001298747,1.0442921486,1.1041036912,1.1115207153324678,1.1504106493548385,1.1438017213384615,1.2020097591885406,1.2490353881209102,1.3337323464351398,1.362657867958889,1.3506495314397415,1.322719152092585,1.3285094297028848,1.4443373329067948,1.4764718543363293,1.491113297432771,1.4624689845852628,1.4952624638082495,1.5687931544806348,1.579807877494747,1.6606771829491453,1.6558232358694116
Colombia,0.31774451856177854,0.3462238011991303,0.3685825412320835,0.3883016469470866,0.3950015623379314,0.4309344005643688,0.4235459075447413,0.47575446345561906,0.47506921413959313,0.5323572199345713,0.5433249062425399,0.5660001844846401,0.5788516910053001,0.61918968493312,0.6577697010319999,0.6690116416749741,0.6849036220512219,0.7162022952609116,0.7527427021490295,0.7727922065371505,0.8034053604551873,0.8296104135295065,0.9020167602632936,0.9026572598933159,0.9497850313794969,0.8882187320903928,0.9225367528515067,0.9649321257863044,1.062360770787467,1.1406133473436233,1.1583137957301537,1.1880311359705826,1.2227716875149506,1.229895570539727,1.1376174747950982,1.1086137633837465,1.090801699222918,1.0867541512906138,1.1250482358117864,1.1448936559608818,1.1472100863709513,1.2860520906129365,1.2905405819735656,1.393966742175377,1.329596055464006,1.4231277074338755,1.4881761160357505,1.5925187542328731,1.614539287948694,1.702195141728668,1.7120340922039934,1.8069225392181387,1.8391983182423788,1.8523643917550192,1.9242381295841249
Ecuador,0.031004294999999994,0.032621098,0.035292123,0.041699712,0.04429498300000001,0.052921601,0.05814900900000001,0.060766101,0.065066407,0.075953428,0.076844726,0.08465873300000001,0.100776332,0.10527193600000002,0.10969552099999999,0.13918268,0.154495622,0.16974717600000003,0.16570931099999997,0.18356886400000003,0.217370336,0.22747262299999998,0.23416707600000003,0.270742945,0.279215004,0.28830683200000007,0.318681332,0.317100339,0.328281721,0.35691190300000003,0.338001891,0.384378266,0.428558267,0.43080789199999997,0.39215708436940006,0.36989527925515003,0.3751315610002964,0.369921024133083,0.376069875221686,0.4058602479260096,0.43003512023953366,0.4547435263199399,0.47722036833793313,0.5074440216355438,0.49698276059002666,0.5525584488528585,0.584999688110139,0.6176871614866151,0.6383942408402057,0.6705101248306842,0.6675673388473033,0.6636819176819594,0.6874756925028674,0.726228550535977,0.7442830438821787
Peru,0.20167533734566,0.24539537642567447,0.2497368012165689,0.25429380070806873,0.2560955698480403,0.26428486036371224,0.276149971,0.247315102,0.284076483,0.329223089,0.33902454,0.34442183,0.34649950499999993,0.3447287880000001,0.35871304300000006,0.38326884499999997,0.40240190099999995,0.402037987,0.3553616189999999,0.374616335,0.371452135,0.3975346729999999,0.427185432,0.4169332680000001,0.382848059,0.37870595199999996,0.37532873899999997,0.36647205900000007,0.39885925899999997,0.434040511,0.4734098619999999,0.489552006,0.4938139760000001,0.49552140800000005,0.5098794300000001,0.524844653,0.5181464024805196,0.5305391396623431,0.5228508844917,0.5571311212429411,0.5826464198697787,0.5870761639758263,0.6437394941187605,0.6947326437797534,0.7119682803804015,0.8022769397599511,0.9056277321089824,0.9166889331009899,0.9386003746224391,0.959268642664664,1.0214874882544842,1.0852836368476075,1.0874943376324855,1.1409923030618772,1.161487679543393
