country,renewable_per_total,oil_per_total,gas_per_total,nuclear_per_total,hydroelec_per_total,coal_per_total,CO2_per_energyunit,labels
Canada,0.7180814567118271,30.708619831329052,25.07690267964523,5.644246904704826,27.85363599475097,9.998513132858086,41.19243649435388,6
Mexico,1.0892618957323807,65.12876378637498,22.057353754443113,1.4025559593156185,5.642789204190205,4.679275399943713,60.36842407332099,5
US,0.912538778585449,40.31340992757383,23.77795981891563,8.34119815114563,2.8669835386837255,23.78790978509574,60.34104761770461,2
Argentina,0.28736575806918724,35.26711425198349,47.07116249607889,2.5007572640731226,13.778662455178731,1.094937774616558,50.515699781092266,5
Brazil,4.006991597524748,46.27777028575629,4.3442135809761275,0.7518018867469201,37.85159605217048,6.767626596825431,37.5169720646759,6
Chile,1.2453540468699777,46.42031936719243,22.869763955372967,0.0,17.28189132241894,12.182671308145702,51.04039589915751,5
Colombia,0.4490608272615362,42.91963977177573,18.62587959873126,0.0,27.796622248260093,10.208797553971397,49.53990961515584,6
Ecuador,0.0,76.24267537771597,3.1806050684644407,0.0,20.57671955381958,0.0,54.78617031773825,4
Peru,0.30256571938439847,61.57213875626546,2.2809749383118896,0.0,30.820738874899046,5.023581711139201,49.626422670443034,6
Trinidad & Tobago,0.04705015091314816,17.370442522445746,82.58250732664109,0.0,0.0,0.0,30.863090208798585,1
Venezuela,0.0,36.98397114808805,40.17517160543006,0.0,22.64167764651806,0.19917959996384593,48.30678925086663,5
Central America,3.8795431699363685,74.7046355634294,0.0,0.0,19.999580157624592,1.4162411090096396,55.62273149281919,4
Belarus,0.0,35.94998472586297,59.489802613359174,0.0,0.029365846079980086,4.530846814697882,55.467983200930846,1
Austria,1.2086733131957959,37.05096018491128,20.382148841066776,0.0,30.287164640898208,11.07105301992794,46.08618753002989,6
Belgium,0.21567390549710802,49.39725043349987,20.64213102989657,17.7846031969593,0.16988013104224256,11.790461303104916,51.35306554783417,2
Bulgaria,0.0,23.431491047188437,15.792066342245972,23.40629813922113,3.4417996988743584,33.92834477247009,55.88935184087655,2
Croatia,0.0029119228251358615,49.00693928136821,26.93639266318027,0.0,18.79063799060171,5.263118142024684,50.85822449075051,5
Cyprus,0.0,98.6164418115043,0.0,0.0,0.0,1.3835581884957036,73.21400566544996,4
Czech Republic,0.45052749215708987,19.95805409062842,18.435804556007252,7.978649003766318,1.0321166260942745,52.14484823134664,72.85701694123728,0
Denmark,6.544843099274224,52.09473164203956,21.690507407370013,0.0,0.03566475339478314,19.634253097921427,67.93447980716931,3
Estonia,0.06700502379589801,24.55755370820668,14.306603426944159,0.0,0.02577116299842231,61.04306667805485,88.71828955641658,0
Finland,6.758780784469283,36.705929716283514,11.064255955912403,17.710893741815315,11.384922448968155,16.375217352551342,46.53083275897552,2
France,0.39520836020538197,37.10755774437094,13.551919026811362,37.57168468847401,6.005775362343374,5.36785481779494,34.52519914615261,2
Germany,1.0644087648860683,39.51493976295835,20.86530377095555,11.854414943218776,1.7380326921764893,24.96290006580478,59.71898878480829,2
