country,renewable,oil,gas,nuclear,hydroelec,coal,co2_emission,renewable_percent,oil_percent,gas_percent,nuclear_percent,hydroelec_percent,coal_percent,co2_percent,labels
Canada,0.523399026366713,4.4999206616032215,4.331248843855506,0.8957691247000441,3.405087403904004,0.5586325067273039,556.1885521674379,1.82076166978433,2.499737094152659,3.5208093976388852,3.8876013031279597,9.97960479007175,0.36841962895930364,1.7491364092165729,3
Mexico,0.3452919956857894,3.2915324855669885,3.264027225205428,0.10029756583632043,0.2120769627256321,0.5075162204388439,454.9729185619787,1.2011761561580259,1.8284690930192673,2.6532804147135325,0.4352873267164781,0.6215535820472737,0.33470830174259925,1.4308271789540699,0
Argentina,0.13899454929874802,1.1855799895518242,1.709661422122891,0.07525428122900449,0.3304274014119382,0.022851728044289303,174.87727095957013,0.48352391755271307,0.6585978955708829,1.389758986101734,0.32660049749962256,0.9684141658510284,0.01507077562757321,0.5499649365090332,0
Brazil,2.0241060776006146,4.7305240195833465,1.2891419212167077,0.14409944276721656,3.559485963699384,0.6560769184665968,441.2999155026889,7.041309929932055,2.6278388566787805,1.047924779835497,0.6253856781114577,10.432114938606425,0.4326844785425605,1.3878274671097066,3
Chile,0.1924848316917652,0.7595919448301468,0.2333283314945118,0.0,0.18588935118275107,0.28452877667023696,92.35951547373976,0.6696019402101494,0.4219585863176052,0.18966921825022812,0.0,0.5448031252765491,0.18764748751053972,0.2904579582286799,0
Colombia,0.02132361221106378,0.7016674470693884,0.4840719716221838,0.0,0.4594688177292166,0.25770628095227244,100.63319393472868,0.07417899885057795,0.38978112662409525,0.3934950884290097,0.0,1.3466077872309332,0.1699579800057449,0.3164775377001934,0
Ecuador,0.0072894384005197,0.4943731708912227,0.022753832901432472,0.0,0.21986660168900374,0.0,35.602259559615185,0.0253579570563075,0.27462772047860323,0.018496260916829675,0.0,0.6443833978759851,0.0,0.11196420387191762,0
Peru,0.052862057915657804,0.5064847082195676,0.2987976751290856,0.0,0.2815701141260321,0.021773124153050008,53.70772986913654,0.18389260199218113,0.281355763349495,0.24288829862074557,0.0,0.8252235923376072,0.014359433482927082,0.1689034148660333,0
Trinidad & Tobago,4.1630070680284636e-05,0.08217345784919079,0.6315050535127061,0.0,0.0,0.0,20.126354190801152,0.00014481959878917986,0.04564792497191016,0.5133413034483588,0.0,0.0,0.0,0.06329461252435295,0
Venezuela,0.0014236125532107904,0.7058575548733002,0.9524092692086519,0.0,0.5639879674587425,0.003160863375473724,102.38554312766384,0.004952357644803715,0.3921087605300239,0.7741996884305712,0.0,1.6529317324251485,0.0020845978312385304,0.32198843461290333,0
Central America,0.14918576521315552,0.9520899642585408,0.01725407584727589,0.0,0.20181805963412905,0.0966107937105832,78.64244788104884,0.5189763627631258,0.5288925693591278,0.01402558813420365,0.0,0.5914868653117606,0.06371507626872086,0.2473196694944713,0
Belarus,0.003826421588399276,0.31792210591236403,0.6934854070316129,0.0,0.002888258910282671,0.0394860122496,59.01666051920464,0.013311071304346164,0.1766079317756516,0.5637242343316594,0.0,0.008464887692156566,0.026041130451403296,0.18559927071896787,0
Austria,0.1423798009638729,0.5481019230404632,0.3204158773352401,0.0,0.3630990972602048,0.12584147113048932,64.68674716089718,0.4953002796854818,0.30447441442501166,0.2604614218079446,0.0,1.064168128587287,0.08299278603244549,0.20343091243426023,0
Belgium,0.1855423004546436,1.3811219473478935,0.6258060000000001,0.3900661531446333,0.002641995978685541,0.12752040627404812,124.48223801869057,0.645450778035509,0.767222807458089,0.5087086254636598,1.6928711243301375,0.007743142127280276,0.08410004824004669,0.39147949732289106,5
Bulgaria,0.04549989785228407,0.2129856714323116,0.1019115,0.1477048466546425,0.030502750231250795,0.20855507311942065,41.02555238484256,0.15828166621482642,0.11831501562800319,0.08284238099976633,0.641032983275892,0.08939723308398646,0.13754262727454336,0.12901971301801826,0
Croatia,0.022347538306380924,0.1415468581171559,0.1060069952482466,0.0,0.052070632208186925,0.01806608273440175,16.598036136030508,0.07774095692296301,0.0786302600433307,0.086171549717114,0.0,0.15260822086713646,0.011914629774678413,0.0521985380926778,0
Cyprus,0.005049024961081524,0.11089214605,0.0,0.0,0.0,0.0006996553200000117,8.195564722369003,0.017564173137151667,0.06160135517425293,0.0,0.0,0.0,0.0004614245506476333,0.025773922519841806,0
Czech Republic,0.08485522322818519,0.4290075502311368,0.2996981999999999,0.2696261007783695,0.017892050798852942,0.6041165147133081,98.77794430298992,0.29518804994226955,0.23831666547699942,0.24362032223393987,1.1701662312756071,0.052437889157183504,0.39841645360518063,0.310643033076871,0
Denmark,0.2198425705893357,0.3328707464070915,0.10509820700584402,0.0,0.00015097954142125668,0.03885820915780548,33.453467168899714,0.76477201093505,0.18491200510535996,0.08543280892902608,0.0,0.0004424897149608928,0.025627092637002805,0.10520654769254977,0
Estonia,0.018001077007444674,0.06410410067550333,0.015489412601626016,0.0,0.00014245203048326952,0.14094658218182285,20.26163905470429,0.06262081008730691,0.035610271912829915,0.012591118963085464,0.0,0.00041749734944729236,0.09295464708045989,0.06372006479255722,0
Finland,0.17749757875689612,0.38720721687935744,0.07275200000000001,0.2043710610405572,0.10952473904137648,0.14633300000000005,42.976555116603095,0.6174653975256905,0.2150962907892906,0.0591390461576466,0.8869620321965924,0.3209942890498247,0.0965070040057996,0.1351553479556752,0
France,0.6140236714813938,3.1493914334396,1.5636489723000002,3.5607197926758234,0.5216569763256895,0.2696949237483794,299.2430017407965,2.1360199561973605,1.7495087540878405,1.2710675822961068,15.453378023846694,1.5288683790452744,0.17786452192279706,0.9410780346131851,2
Germany,2.117453836581867,4.677584200008902,3.191646461488673,0.6692134761818926,0.18000200015285536,2.3040000000000003,683.7664771901951,7.366041182668945,2.5984304202418502,2.5944431411489446,2.9043590701417594,0.5275485207482133,1.5194941484788957,2.150351415890116,5
Greece,0.11015466226189324,0.6757333668577911,0.18529727993421466,0.0,0.035705660364046043,0.13865856477119418,71.70000268120995,0.38319785993252886,0.37537456544606695,0.1506254727143705,0.0,0.10464588333126806,0.09144569349232269,0.2254866353180085,0
Hungary,0.04534057681467493,0.36887393213124864,0.3531926293479221,0.14520632527652602,0.0019611634575993444,0.07872085876265149,47.38227863495175,0.15772743201901088,0.20491202413464626,0.2871051683740286,0.6301895028548501,0.00574776324776063,0.05191661642928929,0.14901074175127682,0
Iceland,0.054436363900256315,0.04042000907693031,0.0,0.0,0.11997004682840084,0.0048,3.2561754223440267,0.18936918075688963,0.02245359499284856,0.0,0.0,0.3516073192779618,0.0031656128093310323,0.01024022332682512,0
Ireland,0.1019360070907922,0.32191040597535914,0.1913718491886745,0.0,0.007903334674938253,0.040153539977442775,37.70705695416358,0.3546074125704219,0.17882346008377253,0.15556340200191338,0.0,0.023163034372957757,0.026481366769287196,0.11858350184646577,0
Italy,0.6358400508331702,2.48886908739808,2.5484621299164463,0.0,0.4023943697545917,0.2979491811617315,325.3646249008794,2.2119131567883716,1.3825840160573561,2.0716079218735297,0.0,1.179334420401867,0.19649828008651452,1.023226942495383,0
Latvia,0.011611241014545168,0.07815454281551422,0.04722795,0.0,0.01878939044634169,0.003056364,8.46427965581725,0.04039232308983925,0.04341538983553514,0.038390915919576434,0.0,0.055067805509443006,0.002015680214245465,0.02661899398340016,0
Lithuania,0.022795395985251942,0.138040755,0.077657616,0.0,0.003084375256042605,0.008532436937040939,12.321714173216439,0.0792989309621344,0.07668259547833893,0.06312675029025723,0.0,0.009039664016932628,0.005627164929730424,0.03875009437059488,0
Luxembourg,0.011060444371602793,0.12701374064975585,0.028637577193305883,0.0,0.0009460968941604537,0.0023390482607971463,10.906397332556024,0.03847625262582444,0.070557012633232,0.02327907135856174,0.0,0.002772813727486288,0.0015426085700047752,0.03429911779632113,0
Netherlands,0.2289645602022353,1.6538490628837792,1.3263408834632544,0.034852976845555106,0.0006612864891437938,0.2665,192.013193979265,0.7965049110793874,0.91872460905728,1.0781632769945453,0.15126049164514363,0.001938093514751724,0.17575746118473337,0.6038550547836313,0
North Macedonia,0.0016094431550173472,0.04551361801192835,0.010178656210890069,0.0,0.010373431478902087,0.04420307726027782,8.198160728440051,0.005598811344175464,0.025283130034780978,0.008274082079924179,0.0,0.03040237567988456,0.029152047413955155,0.025782086601464343,0
