country,renewable,oil,gas,nuclear,hydroelec,coal,co2_emission,energy_sum,renewable_per_total,oil_per_total,gas_per_total,nuclear_per_total,hydroelec_per_total,coal_per_total,CO2_per_energyunit,labels
Canada,0.2508204087806148,4.542189959642719,3.511123200000001,0.8670446757381252,3.50522742738359,0.928738,541.0207535043036,13.605143671545049,1.8435704527340044,33.385828693177565,25.80732173628906,6.372918189401674,25.763986856785053,6.826374071612645,39.76589785198963,5
Mexico,0.08839878944734629,3.9732577922759424,2.5491056700000003,0.09412480724542678,0.33837647149389266,0.616777342,465.84690469770857,7.660040872462608,1.1540250361474529,51.869929396324345,33.27796434042387,1.2287768278600166,4.4174238379110475,8.051880561333267,60.81519830689161,6
US,3.0909664384850735,34.889780955086174,23.69558917924564,7.760030048202817,2.948938246119732,19.7030570558028,5336.435924910266,92.08836192294225,3.3565223378297615,37.887285892088364,25.73136136255051,8.426721776956201,3.20229199927277,21.395816631302374,57.94908079020552,4
Argentina,0.052375777366768135,1.176311680191781,1.5782323928106885,0.0597073170731707,0.3698215243902437,0.05262712295184964,168.74697548044207,3.289075814784502,1.5924162383651155,35.76420084037656,47.984068525160865,1.8153220064063096,11.24393432124258,1.6000580684485601,51.30528603868569,6
Brazil,0.8784274829153165,4.825939624041118,0.9894032985857644,0.14609051999999992,3.996032728067216,0.6468109216846545,423.76161827508463,11.482704575294068,7.650005076376532,42.02790024246119,8.616465677559471,1.2722657719012038,34.8004488129477,5.63291441875391,36.90433865091685,1
Chile,0.04339995893451222,0.7583281694033801,0.21011455800000006,0.0,0.19134334016890234,0.24115130640000002,87.00508810414956,1.4443373329067948,3.0048353626065887,52.503535851781244,14.547471232162568,0.0,13.247829008464048,16.69632854498554,60.23875871784596,5
Colombia,0.014552893197917888,0.5523321742627322,0.3065389724590089,0.0,0.4517929362553472,0.16295913986074445,71.24679418871649,1.4881761160357505,0.9779012739892866,37.114704927132664,20.598299432165117,0.0,30.35883531438787,10.950259052325073,47.875243676471506,5
Ecuador,0.0027695787605644642,0.4581793135490006,0.020187228559318933,0.0,0.103863567241255,0.0,32.843575648336056,0.5849996881101389,0.4734325191713659,78.32129193592637,3.4508101405206646,0.0,17.754465404381623,0.0,56.14289428843685,1
Peru,0.015119237219190632,0.4286088052978129,0.2265438542261257,0.0,0.2011138353658535,0.034241999999999995,45.63263435597654,0.9056277321089827,1.6694759538758461,47.32726153379702,25.01511892735011,0.0,22.207119794963564,3.781023790013459,50.387850038237495,0
Trinidad & Tobago,3.7354390243902414e-05,0.0894573847505612,0.7373275428436059,0.0,0.0,0.0,24.751132732445203,0.826822281984411,0.004517825784066945,10.819421137981358,89.17606103623457,0.0,0.0,0.0,29.935251228403473,3
Venezuela,2.7801219512195103e-05,1.4963747833811585,1.199750110925706,0.0,0.7757725993902433,0.008588466576,172.03971243262765,3.48051376149262,0.0007987676940048225,42.99292822618916,34.47048893181772,0.0,22.28902548736233,0.24675858693679847,49.42940158318706,0
Central America,0.06384795278638282,0.7740111132088038,0.0,0.0,0.19514678340557465,0.029628536160376005,58.89711169413742,1.0626343855611373,6.0084591326928605,72.83889207105581,0.0,0.0,18.364433342002666,2.7882154542486677,55.42556545733843,1
Belarus,0.0020705975609756093,0.35619243,0.6921426548672587,0.0,0.0003918292682926826,0.032467013510699305,57.002689638554145,1.0832645252072264,0.1911442231138796,32.881389698592876,63.89414946777225,0.0,0.03617115295248189,2.9971454575684944,52.62120960496666,3
Austria,0.08349521184534603,0.5123353119943908,0.3255050412922452,0.0,0.3194255961991761,0.14515069113768606,64.85489186110031,1.3859118524688443,6.024568712404675,36.96738079566342,23.48670593388714,0.0,23.04804563364948,10.473298924395271,46.79582741540791,5
Belgium,0.0911709161218196,1.3320754815398554,0.5948640000000002,0.449987926829268,0.00182853658536585,0.14777624609999998,122.98925095778236,2.617703107176309,3.4828593002727795,50.88718724014323,22.72465499885028,17.190181942163246,0.06985271096454765,5.645263807605929,46.98365166798831,5
Bulgaria,0.010200208248324504,0.1653841645527344,0.11014020000000001,0.15219768292682914,0.027213475609756087,0.3389197434120001,50.74303215778606,0.8040554747496442,1.268595086862695,20.568750508692133,13.698084704204513,18.928754010936665,3.384527120871784,42.15128856843221,63.108869662986535,2
Croatia,0.0025355862799999983,0.15024443540000004,0.10761,0.0,0.046954207317073136,0.029421564696,18.20248663064711,0.33676579369307313,0.7529227515045428,44.61392404269306,31.95395791832566,0.0,13.942689013085158,8.7365062743916,54.05087740958862,6
Cyprus,0.0023266097560975607,0.11860702000000002,0.0,0.0,0.0,0.00028858032016977603,8.70295515753606,0.12122221007626736,1.9192932999932657,97.84264775025798,0.0,0.0,0.0,0.23805894974874223,71.79340445996296,1
Czech Republic,0.06138718911020416,0.3921490814046947,0.28508579999999994,0.263855963414634,0.01990959146341462,0.773959203864,113.15288177712331,1.7963468292569476,3.417335010722665,21.83036566312229,15.870309416691244,14.688475472399565,1.10833782981932,43.085176607244904,62.99055390318394,2
Denmark,0.13765484944908424,0.3467516188931261,0.1565051241332081,0.0,0.00015737957317073158,0.13557779455999994,46.29900336637202,0.7766467666085892,17.72425449605443,44.6472751579587,20.151390678754066,0.0,0.020263983568484616,17.45681568366431,59.61397813905478,5
Estonia,0.011131653626540805,0.05738938021981335,0.02123400000000001,0.0,0.00027987804878048763,0.17456318316,23.87115498912488,0.26459809505513465,4.207004447337872,21.689264319100655,8.025001085353791,0.0,0.10577477843223665,65.97295536977545,90.21665475010624,2
Finland,0.11680889147514754,0.4256683140061175,0.13003199999999998,0.21865349807445425,0.11570460088691788,0.2308230000000001,57.712151597341844,1.237690304442637,9.437651006545575,34.39215064367872,10.506020733397976,17.666252800850646,9.348429124119427,18.649495691407672,46.628911441082245,5
France,0.28106034146846826,3.4553403588327765,1.5486852627,4.1271563414634125,0.4178672560975607,0.408984669108,334.11190368195895,10.239094229670217,2.744972701335523,33.7465432129739,15.125217406558436,40.30782654098439,4.0810959126315165,3.994344225516252,32.63100194095197,5
Germany,1.1123915853658528,4.727774966000001,2.9109860000000003,1.0072925445731702,0.16486938548780486,3.2788480000000004,763.6943725895662,13.20216248142683,8.425828624142417,35.810610365166816,22.049312028201868,7.629754186030185,1.2488059113023924,24.835688885156316,57.84615767787684,4
Greece,0.042877512590920035,0.7505011305196228,0.16556357275126524,0.0,0.0374196951219512,0.33065818218000004,95.48217905788412,1.3270200931637592,3.2311125364119704,56.555370516685024,12.476342566640705,0.0,2.8198288266109524,24.917345553651355,71.95232351775797,5
Hungary,0.0299553586639032,0.30087487228649396,0.3928870000000001,0.14632981573170725,0.002071097560975608,0.11357092746,49.30197152409794,0.98568907170308,3.0390271662590456,30.524318562915624,39.85912102293753,14.845433507635185,0.21011672143195748,11.521983018820672,50.01777227672178,6
Iceland,0.04386646382548778,0.030041744456609874,0.0,0.0,0.11667965488243895,0.0039,2.5111351754208653,0.1944878631645366,22.554859265627687,15.446590840064184,0.0,0.0,59.99328337713703,2.0052665171711013,12.911526377851386,1
