country,renewable_percent,oil_percent,gas_percent,nuclear_percent,hydroelec_percent,coal_percent,co2_percent
Canada,1.82076166978433,2.499737094152659,3.5208093976388852,3.8876013031279597,9.97960479007175,0.36841962895930364,1.7491364092165729
US,20.275943484185657,20.547111867523334,24.77611761712302,32.962588277261126,7.0843325432373305,7.479184433060645,15.613276120422245
Brazil,7.041309929932055,2.6278388566787805,1.047924779835497,0.6253856781114577,10.432114938606425,0.4326844785425605,1.3878274671097066
France,2.1360199561973605,1.7495087540878405,1.2710675822961068,15.453378023846694,1.5288683790452744,0.17786452192279706,0.9410780346131851
Germany,7.366041182668945,2.5984304202418502,2.5944431411489446,2.9043590701417594,0.5275485207482133,1.5194941484788957,2.150351415890116
Iran,0.017133925865591274,2.1785029913100744,6.543939647703283,0.24801486755994304,0.7566959537773749,0.034115458092075834,2.1092959217862965
China,23.055470713061275,15.502002958802194,8.993773429188265,13.490519961046488,33.171757063709755,53.864746244704264,30.900793566152036
India,4.2005801825422155,5.687358754220487,1.7464930950052366,1.7472637483325109,4.228459526176968,12.27993139281181,7.8003732354625335
Japan,3.8250891126814373,4.184342438527437,3.1640445511640873,2.5393282711879754,1.931431334623637,3.2350038021236864,3.5320734211110114
South Korea,1.0068169475365696,2.9464760068527385,1.6378129012021343,5.648066513521241,0.07251626312242329,2.2662596381396787,2.008342689492017
