country,1965.0_co2_emission,1966.0_co2_emission,1967.0_co2_emission,1968.0_co2_emission,1969.0_co2_emission,1970.0_co2_emission,1971.0_co2_emission,1972.0_co2_emission,1973.0_co2_emission,1974.0_co2_emission,1975.0_co2_emission,1976.0_co2_emission,1977.0_co2_emission,1978.0_co2_emission,1979.0_co2_emission,1980.0_co2_emission,1981.0_co2_emission,1982.0_co2_emission,1983.0_co2_emission,1984.0_co2_emission,1985.0_co2_emission,1986.0_co2_emission,1987.0_co2_emission,1988.0_co2_emission,1989.0_co2_emission,1990.0_co2_emission,1991.0_co2_emission,1992.0_co2_emission,1993.0_co2_emission,1994.0_co2_emission,1995.0_co2_emission,1996.0_co2_emission,1997.0_co2_emission,1998.0_co2_emission,1999.0_co2_emission,2000.0_co2_emission,2001.0_co2_emission,2002.0_co2_emission,2003.0_co2_emission,2004.0_co2_emission,2005.0_co2_emission,2006.0_co2_emission,2007.0_co2_emission,2008.0_co2_emission,2009.0_co2_emission,2010.0_co2_emission,2011.0_co2_emission,2012.0_co2_emission,2013.0_co2_emission,2014.0_co2_emission,2015.0_co2_emission,2016.0_co2_emission,2017.0_co2_emission,2018.0_co2_emission,2019.0_co2_emission
Trinidad & Tobago,7.661722276430947,8.003117554728565,8.471817647077158,8.701190315433733,9.02126470681895,9.718425275835543,9.874246673432584,14.303683522426088,14.17989464034318,13.313601875954236,10.212592138199016,11.707030391959243,11.744944730046479,10.954785790144296,9.14105424499592,8.57272545505862,9.582408169137704,9.918150955639486,8.965905824087336,8.14397088158305,8.399993647837087,9.102778079568807,7.953758386912013,8.326400680839852,8.035670684992605,9.64860700102069,9.079356355375564,10.590977189719025,10.678509256151498,10.151084173082701,11.264360236672236,11.792752793089072,10.800007521478557,10.279453378335832,12.408040793880984,13.202538240082458,14.034537192427745,15.93640634701008,18.116777014253337,19.075971896882827,19.144151283644398,22.26093424619798,24.485394241317504,24.804860938857047,22.969555718639256,25.17310394777179,24.751132732445203,24.741425458082187,26.01963157045719,25.768575206689494,24.341703960097743,22.02799507224732,21.541280304799024,20.39829159448683,20.126354190801152
Venezuela,43.741593930774236,44.034360878939765,45.994829359168,48.95232768645293,49.1021850040062,49.36144939871393,49.542571852941165,52.28628289842184,59.67673902123815,60.83164081399713,62.70732005834718,66.19018512828436,73.91360036014018,75.18777516062018,83.15241035349439,95.36750152859115,99.21972327412112,99.84142202856272,98.37363662882696,98.4707240014911,99.99177676446634,105.75463995439982,101.24808602999569,103.63203781549865,106.40825160303385,112.20272245082054,106.24002939576371,117.54415311510907,114.73610102990995,124.90991070662584,128.1728902724082,119.37104384183827,127.15461671753498,137.88339482419872,132.46236037872023,134.16941960999827,146.94743274545766,148.49711386553304,128.8889641655886,142.02947302947578,146.69971628897449,165.757943224715,164.52071345784975,172.31904922419142,172.87631753006204,167.21946982095673,172.03971243262765,182.0960215203559,176.95358392101988,171.06375227537552,164.3866225961528,151.3894007563168,142.72689587352352,119.57479997852289,102.38554312766385
Central America,12.343178320759696,12.451097745217323,13.118501175678766,13.37920154769828,14.21988948285927,14.70000113155201,15.40497832637934,16.845884170770777,17.682015567806747,17.83201480762051,19.83515492939824,20.302241844136432,20.53816012589105,20.79290494172486,20.818193537059532,19.56257491731598,19.4588657873481,19.448981144162055,19.20475573851115,18.723644636863938,18.74730768740733,18.761251566460704,20.155075547142072,19.52869120265803,20.352870050249532,21.085470271268814,23.09430625124637,26.30683582812062,28.113832519837228,30.794606679156363,34.0694326040222,33.43425816154506,35.99230027474056,41.37806908221626,40.78741092495271,42.734341372803826,45.94231287921655,46.08763588324054,48.21070726263294,49.24072274637295,49.20323564814596,51.88572859422579,54.55028604632268,55.02756503349651,53.87046869465668,54.94887365315438,58.897111694137415,59.98233956702495,60.929540900979205,62.85283429115642,68.90659297415377,71.93172302543061,71.6930174815396,74.9037694395847,78.64244788104884
Other Caribbean,48.75059807246962,50.219581773245466,52.30341331157186,53.41066802440866,56.49632488156118,70.31875066423633,71.46065807361265,76.53827388300509,82.79811308678036,81.99098206529021,79.39102255998324,80.55591236541117,84.7905303116586,86.38018589077544,88.94092772036403,99.24363120814321,99.89765031231691,87.42650711061032,83.70851086530945,88.81712148921122,83.25588187622692,81.35411932311747,85.1285064860659,85.23602335595918,89.71587222581377,89.09611431339839,84.7165529653767,83.28407690603237,84.47093286255246,89.3677778961136,87.24213572692196,88.59128520334454,94.07616686694116,97.0813156395328,90.77160969990591,106.61011251478538,113.88438207755948,113.10633620567972,117.50488309575444,120.51301838503089,120.77332098755194,125.15382925959337,123.80235226221572,116.66853684273438,109.7946829861103,109.05858158782205,110.16093753144128,108.31227658889924,106.20616690263577,105.5443377951442,108.44927955251465,111.59147572180011,108.16560834666181,112.6610699127794,116.27305185983205
Other South America,7.1919442523758565,7.4742518142320655,8.035050296934372,8.268021803269095,8.906381372067976,9.143757222087551,9.839316128436149,11.423886046459456,11.558892725936737,10.471822547061603,11.915844550878937,12.16023225775463,12.844140416991202,14.813776695802199,15.579820198241835,15.162794384470583,14.62307820270501,13.7676545124183,11.974283146141655,11.819056461529009,12.587618607474324,12.635732838410934,12.990227924025483,14.534463306913029,14.833812817059835,14.113767142401194,14.73323854426229,15.417655715415318,16.100022179795815,17.93413971408872,20.39846136255629,20.98461160416316,21.259014211480427,21.835874945774314,23.592780023910333,20.357209246160874,19.73801132011115,19.794335434468927,21.320410331284947,22.85394763133974,23.031065898332763,23.320531948370046,25.112308529458712,27.831801577637098,30.115935040285418,32.08398003875284,31.613515915453235,32.7866352339333,33.2791520564487,33.00320340779934,34.808585089768584,35.89994194953391,37.63094698206662,38.29687683197519,38.96372855873502
Total S. & Cent. America,301.1635166807141,316.45029614338256,328.2035193329113,347.4733858229083,362.66323076781913,386.1483452679301,402.36482146352193,431.47316447717725,470.4643100661706,487.0082623985933,486.63717730476685,511.67132319777244,538.3113488329795,557.0267489449881,582.6547379711703,602.7493447482722,597.4692011889715,584.719423255498,572.5191637838674,582.8511762969842,585.0820353261043,619.4996723419114,636.9019434338019,653.2884664062866,667.2507679187169,653.9635540818404,661.6434361323442,703.2448998495628,720.4194056794972,758.8229170918675,791.0968049894739,821.2684171762047,859.7075880385436,897.0044207000566,882.3485352485997,901.1477898199284,919.4983155466758,915.9469629556526,914.2987186668183,969.2027458017336,993.6391113134903,1048.0407051856066,1093.5297804230945,1136.5410906481536,1096.5176902081673,1172.9992203542197,1226.69909635881,1274.7368013646699,1326.613476209808,1347.9811395837758,1340.7861511736155,1308.3676551797064,1289.4487295317472,1263.1202452201462,1254.8710109175602
Belarus,,,,,,,,,,,,,,,,,,,,,89.61679979667397,102.25790720336639,102.67548942929584,103.38766980796188,99.30986838059052,94.10305590543614,94.63108997745223,87.90083237325949,74.0672164816249,61.883960015837076,53.78608747563835,55.15654592264264,55.8577306613026,54.47792388925994,52.15698985860575,50.99923027404727,48.691082428414944,48.867820183472524,47.742639158018626,54.681697746738394,55.74632228500425,57.88043789536751,56.739514503706054,59.417076743889666,57.12381053178402,60.16406413107826,57.00268963855414,58.50189803326446,58.08108500079614,57.12116384405358,52.9646777828607,53.33610269864658,54.438824463144684,58.403787773504746,59.016660519204635
Austria,39.52864630210105,39.81808547957724,40.11150060491633,43.011884818844564,46.05341569659062,50.71270267715289,53.33181918604825,54.5100495263941,57.90412680019977,55.20529704717283,53.27395221690293,58.03734202939563,53.8395979748197,56.6178620739839,59.12544511536326,57.868448928017465,54.49513103258961,51.86128293769065,51.348275497018854,53.191058969681734,54.25113274538629,53.87832515016563,54.85982320353927,53.376879937981656,53.653593176926286,58.07891754848424,62.993955176671335,57.70355649151684,58.18318451144429,58.693688608215346,61.276149005065086,63.09767133552571,63.68123398724256,63.92389095102525,63.154477108633394,63.65883566747957,68.34226399561605,69.50193152521499,75.15701709340078,73.87166034601239,74.90462953996791,72.81968836960708,69.16189623682665,69.9396381628375,63.73070908181472,67.95220691072399,64.85489186110031,62.47583405169148,63.097038264071344,58.93651990182632,60.947424279828404,61.853488147701455,64.67144935564444,62.8291248706779,64.68674716089718
Belgium,124.71285672724909,118.47594249741687,123.42897304839784,135.09547371253038,144.44671930968343,148.98829728931753,142.06397693347466,149.25909728372204,147.14228141933737,141.363483987978,126.05178191526271,132.05205540316194,131.6109547106377,136.81252724191572,142.24281693320236,136.06540954230508,129.3872773051937,121.93960475216105,109.25991362826792,113.19086582432419,114.22862864526277,113.72138180904057,115.21299789913049,117.18822881690285,119.75067808266014,128.5038435169198,132.93975130269868,130.0988252287401,128.0839765171984,131.99719683266323,130.8072436739662,139.3657616798137,137.97565597340395,142.03051017153683,135.2783068900393,139.05340199042905,139.19330393398405,137.11835920524175,144.1943846428304,142.96816589115863,138.91147215446287,140.96070981976916,140.4230503767692,142.14491196127136,127.49662862945803,136.4089127173326,122.98925095778235,119.03720191814296,120.03180956773598,111.73183476668763,118.28472565005453,120.11576824545566,122.11141668280966,125.0724748425521,124.48223801869054
Bulgaria,36.74421323359999,39.2106661798,45.227863366200005,51.011343779,55.747480970400005,62.3625752123,64.5729362375,66.629984883,68.6370473572,69.8614355813,75.1336771981,75.92364619180002,78.4369300453,82.0952754793,84.9223422343,89.13671640189999,85.4654906675,87.0462766866,85.9801208271,85.0110349488,84.87663543730002,87.89358395220002,87.76049695820002,86.551172154,86.7920731318,74.30402444449805,60.17864748083114,58.356665472578314,60.40780564239882,56.814002058778584,58.783387736350974,57.117615699207335,56.124417016948286,53.918623211027686,46.05511010977202,43.405267749753655,46.809941421868594,44.75334001271891,48.31242994333932,46.46353138890861,48.28704616721947,49.43845264572023,52.71193499915077,50.341479732665434,43.797633267833874,45.82512905389952,50.74303215778606,46.134076929423024,40.9794053278369,43.250596483689755,46.052597813944715,43.18709109574606,45.828083869974314,42.58752507314769,41.025552384842555
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,21.266847787442938,14.793215202682404,14.491183096446813,15.52462446248689,14.449479017174824,15.108046511598175,15.112327864588412,16.608763333481882,18.87011686241527,18.576019829001858,17.465512496327104,18.42216797275963,19.519079803941224,20.853198095123012,20.12352603569495,20.62734270686417,20.668319819486836,21.86649100021161,20.93033518913435,19.60877605431389,18.84052478992163,18.20248663064711,16.619999412124816,16.110411338117917,15.823614849261139,16.2423031402177,16.687757628770143,17.140426587147086,16.520116487955132,16.598036136030508
Cyprus,1.213839504,1.345540419,1.464236559,1.6310668229999998,1.922657814,2.0436866279999997,2.402040276,2.7420118195,2.9187053657,2.3959778544000003,2.0835467886,2.1215836624,2.5031303762,2.6230971605000004,2.6569444715000006,2.6853939825,2.5429220301,3.0745800172999997,3.2249125898999997,3.2299133708000003,3.5732236264,3.6989548223999997,4.5881583634,4.6684765181,4.742381477000001,4.970187104699999,5.139325695599999,6.0391413599,6.2775457407,6.3086076902000014,6.742839228100001,6.8465889086,6.873752250000001,7.225120451,7.590814725900001,7.9759322397000005,8.0901362011,7.9455695308,8.4931941481,8.277335302900001,9.316718741899999,9.142110267792274,9.322075272826407,9.482366243084433,9.180957256357221,8.839898304954799,8.70295515753606,8.135052481319999,7.2521347043199995,7.325073791405355,7.497763314813031,8.112640748169602,8.309006428080385,8.230032227202003,8.195564722369003
