,Year,India,China,European_Union,United_States_of_America,Russian_Federation,Global
27,1992,-0.024416666666666673,0.16849999999999998,0.8670833333333333,0.25416666666666665,0.5310833333333332,0.22
28,1993,0.13641666666666666,0.20108333333333334,0.28424999999999995,0.15274999999999994,0.7715000000000001,0.24
29,1994,-0.004083333333333325,0.8009166666666667,1.1556666666666666,0.4658333333333333,0.5531666666666666,0.32
30,1995,0.19258333333333333,0.5193333333333333,0.8555,0.5457500000000001,2.2896666666666667,0.45
31,1996,0.17225,0.2370833333333333,-0.08358333333333337,-0.02141666666666669,0.6990833333333334,0.33
32,1997,-0.16333333333333333,0.695,0.9027500000000002,0.4012500000000001,1.1381666666666663,0.47
33,1998,0.5232500000000001,1.3825,0.7391666666666667,1.3258333333333332,0.1780833333333333,0.61
34,1999,0.3795,1.15775,1.1575833333333334,0.7101666666666667,0.6021666666666667,0.39
35,2000,0.2964166666666666,0.5569999999999999,1.5559166666666666,0.8445833333333331,0.9415833333333332,0.4
36,2001,0.4250833333333333,0.93575,0.9458333333333334,0.9520000000000001,0.94175,0.54
37,2002,0.7755000000000001,1.1547500000000002,1.3208333333333335,1.0078333333333334,1.3214999999999997,0.63
38,2003,0.50975,0.9020833333333332,1.20725,0.9226666666666667,1.592,0.62
39,2004,0.5140833333333333,1.144,0.9396666666666668,0.8759166666666666,1.0014166666666668,0.54
40,2005,0.4087499999999999,0.8842499999999999,0.9170833333333333,1.0961666666666667,1.9123333333333328,0.68
41,2006,0.6550833333333334,1.372083333333333,1.3689166666666666,1.1219166666666665,0.7356666666666666,0.64
42,2007,0.4760833333333334,1.6083333333333334,1.5328333333333333,1.0060833333333334,2.469333333333333,0.67
43,2008,0.2610833333333333,1.0474166666666669,1.38375,0.1406666666666667,2.142583333333333,0.55
44,2009,0.977,1.2319166666666668,1.2351666666666663,0.3409166666666667,0.8620833333333334,0.66
45,2010,0.92925,0.9825833333333334,0.265,0.6799166666666666,0.9740833333333332,0.73
46,2011,0.29558333333333336,0.7675833333333334,1.586083333333333,0.7316666666666666,2.020166666666667,0.61
47,2012,0.3719166666666667,0.5444999999999999,1.0511666666666666,1.3788333333333334,1.5585000000000002,0.65
48,2013,0.2694166666666667,1.2096666666666671,1.1195000000000002,0.4789166666666665,1.7038333333333335,0.68
49,2014,0.3909166666666665,0.9838333333333332,2.0089166666666665,0.726,1.531,0.75
50,2015,0.6753333333333335,1.4247499999999995,1.928583333333333,1.5373333333333334,2.33725,0.9
51,2016,0.9863333333333336,1.4418333333333333,1.6086666666666665,1.9739166666666668,2.16825,1.02
52,2017,0.8368333333333333,1.4541666666666666,1.5753333333333333,1.5460000000000005,2.373833333333333,0.93
53,2018,0.7120833333333333,1.2690833333333331,1.95525,1.2118333333333335,1.8036666666666663,0.85
54,2019,0.6746666666666666,1.4784166666666667,2.02,1.0297500000000002,2.3724166666666666,0.98
55,2030,0.8260606301106321,1.7219726070226071,2.1097082732082697,1.5454451539201486,2.772003375296478,1.0835953520164026
56,2040,0.9781527417027434,2.028027200577206,2.489781024531027,1.825236940836937,3.3272501368363407,1.269935064935062
57,2050,1.1302448532948546,2.3340817941317984,2.8698537758537697,2.1050287277537265,3.8824968983762034,1.4562747778537215
