,Year,Russian_Federation
27,1992,0.5310833333333332
28,1993,0.7715000000000001
29,1994,0.5531666666666666
30,1995,2.2896666666666667
31,1996,0.6990833333333334
32,1997,1.1381666666666663
33,1998,0.1780833333333333
34,1999,0.6021666666666667
35,2000,0.9415833333333332
36,2001,0.94175
37,2002,1.3214999999999997
38,2003,1.5919999999999999
39,2004,1.0014166666666668
40,2005,1.9123333333333328
41,2006,0.7356666666666666
42,2007,2.469333333333333
43,2008,2.142583333333333
44,2009,0.8620833333333334
45,2010,0.9740833333333332
46,2011,2.020166666666667
47,2012,1.5585000000000002
48,2013,1.7038333333333335
49,2014,1.531
50,2015,2.33725
51,2016,2.16825
52,2017,2.3738333333333332
53,2018,1.8036666666666663
54,2019,2.3724166666666666
0,2030,2.772003375296478
1,2040,3.3272501368363407
2,2050,3.8824968983762034
